MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,GOLD360,360ONEAMC - GOLD360,       149.40,       150.15,       151.00,       149.60,       149.70,                  1466887.95,9775,192,       178.00,        87.85,COMMODITY-GOLD
N,EQ,GOLDADD,DSPAMC - DSPGOLD,        14.84,        15.14,        15.14,        14.87,        14.95,                 62079806.65,4153135,3490,       181.00,        14.46,DSP GOLD ETF
N,EQ,GOLDAXIS,AXISAMC-GOLDAXIS,       127.20,       128.47,       129.25,       127.84,       128.11,                 42818668.75,333634,2624,       150.00,        83.85,GOLD
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,       126.23,       126.85,       127.72,       126.78,       127.17,               2597281031.44,20415178,70327,       148.14,        84.44,GOLD
N,EQ,GOLDBETA,UTIAMC-UTIGOLDBETA,       128.50,       129.05,       130.30,       129.05,       129.50,                 71011240.85,548417,2289,       149.35,        85.70,GOLD
N,EQ,GOLDBND,BANDHANAMC - GOLDBND,       152.71,       154.98,       154.98,       152.93,       153.82,                   314178.65,2042,219,       180.16,       115.17,COMMODITY - GOLD
N,EQ,GOLDCASE,ZERODHAAMC - GOLDCASE,        24.03,        24.51,        24.51,        24.13,        24.21,                210100334.22,8672063,9012,        27.94,        16.40,ZERODHA GOLD ETF
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,       148.23,       148.61,       150.73,       148.61,       149.46,                270766313.90,1811520,4481,       173.50,       101.51,MIRAE ASSET GOLD ETF
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,       130.75,       131.21,       132.99,       131.21,       131.80,                547286516.43,4150183,25030,       158.00,        88.67,GOLD
N,EQ,GROWWCAPM,GROWWAMC - GROWWCAPM,        11.33,        11.49,        11.57,        11.33,        11.44,                  3203246.73,279688,643,        12.66,         8.02,NIFTY CAPITAL MARKETS INDEX
N,EQ,GROWWCHEM,GROWWAMC - GROWWCHEM,        30.19,        30.19,        30.68,        30.10,        30.24,                134847615.02,4453571,392,        31.74,        24.64,NIFTY CHEMICALS INDEX - TRI
N,EQ,GROWWDEFNC,GROWWAMC - GROWWDEFNC,        96.61,        97.10,        98.00,        96.76,        97.42,                 22607324.02,231792,2351,       102.07,        71.78,NIFTY INDIA DEFENCE INDEX- TOTAL RETURN INDEX
N,EQ,GROWWEV,GROWWAMC - GROWWEV,        32.57,        32.82,        32.82,        32.18,        32.37,                  8406959.14,259593,2060,        34.64,        26.20,NIFTY EV AND NEW AGE AUTOMOTIVE INDEX
N,EQ,GROWWGOLD,GROWWAMC - GROWWGOLD,        14.91,        14.98,        15.21,        14.93,        15.03,                 32467292.80,2159184,4385,       179.96,        12.71,COMMODITY
N,EQ,GROWWHOSPI,GROWWAMC - GROWWHOSPI,        52.06,        52.11,        52.59,        51.77,        51.83,                 15747274.39,303066,859,        62.00,        43.35,BSE HOSPITALS INDEX
N,EQ,GROWWLIQID,GROWWAMC - GROWWLIQID,       110.60,       110.65,       110.65,       110.64,       110.64,                 71914211.71,649969,224,       112.71,       102.89,NIFTY 1D RATE INDEX
N,EQ,GROWWLOVOL,GROWWAMC - GROWWLOVOL,        10.34,        10.50,        10.50,        10.24,        10.30,                    48573.11,4721,144,        11.10,         9.39,NIFTY 500 LOW VOLATILITY 50 INDEX   TRI
N,EQ,GROWWMC150,GROWWAMC - GROWWMC150,       233.72,       233.72,       233.72,       231.63,       233.51,                    70660.52,303,34,       245.00,       193.60,NIFTY MIDCAP 150 INDEX - TRI
N,EQ,GROWWMETAL,GROWWAMC - GROWWMETAL,        12.48,        12.48,        12.77,        12.32,        12.72,                  5918741.22,467942,1502,        13.45,        10.03,NIFTY METAL INDEX
N,EQ,GROWWMOM50,GROWWAMC - GROWWMOM50,        11.02,        11.17,        11.17,        10.92,        10.99,                  3050260.73,277790,564,        11.55,         9.12,NIFTY 500 MOMENTUM 50 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWN200,GROWWAMC - GROWWN200,        11.33,        11.04,        11.53,        11.04,        11.34,                   334380.22,29513,209,        12.14,         9.91,NIFTY 200 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWNET,GROWWAMC - GROWWNET,        10.79,        10.95,        10.95,        10.63,        10.86,                  5325755.49,490430,576,        11.40,         7.93,INDEX
N,EQ,GROWWNIFTY,GROWWAMC - GROWWNIFTY,         9.66,         9.65,         9.76,         9.65,         9.68,                  6629481.51,684423,3382,        11.88,         8.93,NIFTY 50 INDEX - TRI
N,EQ,GROWWNXT50,GROWWAMC - GROWWNXT50,        73.45,        73.99,        73.99,        72.81,        73.45,                   168396.21,2293,74,        76.79,        60.01,INDEX
N,EQ,GROWWPOWER,GROWWAMC - GROWWPOWER,        11.32,        11.32,        11.39,        11.25,        11.33,                 24884246.12,2199856,2548,        13.20,         7.75,BSE POWER INDEX - TRI
N,EQ,GROWWPSE,GROWWAMC - GROWWPSE,        97.89,        97.30,        99.48,        95.90,        98.30,                   484934.92,4944,132,       109.85,        93.20,NIFTY PSE INDEX - TRI
N,EQ,GROWWPSUBK,GROWWAMC - GROWWPSUBK,        85.33,        86.48,        86.48,        85.01,        85.88,                   157370.66,1830,108,        91.19,        77.57,NIFTY PSU BANK INDEX - TRI
N,EQ,GROWWRAIL,GROWWAMC - GROWWRAIL,        28.05,        28.19,        28.22,        27.85,        28.08,                 75974798.64,2704363,2019,        36.75,        26.52,NIFTY INDIA RAILWAYS PSU INDEX
N,EQ,GROWWRLTY,GROWWAMC - GROWWRLTY,        10.20,        10.30,        10.34,        10.15,        10.21,                  1658220.63,161707,474,        11.30,         7.17,INDEX
N,EQ,GROWWSC250,GROWWAMC - GROWWSC250,        10.66,        10.72,        10.72,        10.60,        10.69,                  1070514.38,100126,522,        10.97,         8.00,NIFTY SMALLCAP 250 INDEX - TRI
N,EQ,GROWWSLVR,GROWWAMC - GROWWSLVR,        22.55,        22.81,        22.94,        22.69,        22.83,                 33925366.74,1486031,3142,       362.99,        19.23,COMMODITY-SILVER
N,EQ,GSEC10ADD,DSPAMC - GSEC10ADD,        26.49,        26.79,        26.79,        26.48,        26.79,                     1118.98,42,4,        27.50,        26.48,NIFTY 10 YR BENCHMARK G-SEC
N,EQ,GSEC10IETF,ICICIPRAMC - ICICI10GS,       262.50,       262.50,       262.50,       262.50,       262.50,                    11025.00,42,3,       269.59,       252.23,ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF
N,EQ,GSEC10YEAR,MIRAEAMC - MAGS813ETF,        30.50,        30.53,        30.53,        30.22,        30.37,                    18678.77,616,12,        31.33,        28.39,MIRAE ASSET NIFTY 8-13 YR G-SEC ETF
N,EQ,GSEC5IETF,ICICIPRAMC - ICICI5GSEC,        66.51,        66.51,        66.51,        66.51,        66.51,                    57331.62,862,24,        69.14,        62.00,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,HDFCBSE500,HDFCAMC - HDFCBSE500,        37.73,        38.48,        38.48,        37.42,        37.56,                 32375017.17,862356,224,        40.00,        32.65,HDFC S&P BSE 500 ETF
