MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,RAGHAV PRODUCTIVITY ENH L,      1885.20,      1889.80,      1943.70,      1778.40,      1807.20,                389159355.20,209791,N, ,27169,      1943.70,       561.30
N,RPG LIFE SCIENCES LTD,      2652.40,      2652.40,      2739.00,      2638.90,      2721.60,                 55050361.60,20463,N, ,2723,      3082.00,      1733.00
N,RELIANCE POWER LTD.,        22.03,        22.11,        22.32,        22.04,        22.08,                299362374.84,13517969,N, ,23383,        50.73,        20.17
N,R.P.P INFRA PROJECTS LTD,        55.04,        55.65,        55.68,        53.77,        54.14,                  1783201.00,32609,N, ,614,       169.90,        53.50
N,RPSG VENTURES LIMITED,       833.30,       836.55,       872.85,       829.00,       831.40,                 19496528.55,23012,N, ,1386,      1179.00,       551.90
N,RASHI PERIPHERALS LIMITED,       815.65,       814.00,       833.00,       811.50,       823.65,                130687743.10,158904,N, ,9903,       967.70,       276.55
N,RDB REAL ESTATE CONS L,       138.37,       138.00,       138.00,       129.99,       136.83,                    40537.45,309,N, ,12,       151.99,       129.99
N,R R I L LTD.,        16.71,        16.99,        17.00,        16.50,        16.66,                   311329.94,18631,N, ,113,        21.50,        15.06
N,R R KABEL LIMITED,      2617.70,      2550.00,      2609.00,      2374.40,      2454.10,               6401107136.30,2596720,N, ,180021,      2983.80,      1170.00
N,RAJPUTANA STAINLESS LTD,       181.56,       182.93,       184.89,       181.10,       181.50,                 61710391.53,337269,N, ,3608,       184.89,       101.70
N,R. S. SOFTWARE (INDIA) LI,        29.91,        30.10,        31.40,        29.50,        30.61,                  1546830.98,50380,N, ,354,        82.00,        21.93
N,R SYS INTERNATIONAL LTD,       252.64,       252.50,       257.50,       251.00,       256.12,                 52005307.20,203978,N, ,3980,       485.00,       213.52
N,RATTANINDIA ENT LIMITED,        27.43,        27.63,        28.13,        27.63,        27.82,                 48086625.10,1727353,N, ,5278,        64.00,        24.40
N,RATTANINDIA POWER LIMITED,         7.24,         7.24,         7.39,         7.23,         7.36,                 99367168.62,13604316,N, ,12534,        12.84,         7.20
N,R T S POWER CORPN. LTD.,        90.40,        92.21,        99.00,        87.10,        88.08,                   211519.23,2343,N, ,62,       114.00,        82.90
N,RUBFILA INTERNATIONAL LTD,        66.42,        66.42,        72.00,        66.05,        70.69,                  5385090.43,76949,N, ,666,        89.24,        57.31
N,RUBICON RESEARCH LIMITED,      1775.70,      1788.80,      1792.00,      1752.20,      1768.30,                201116688.20,113571,N, ,10409,      1899.00,       570.75
N,RUCHI INFRASTRUCTURE LTD,         6.04,         6.00,         6.11,         5.51,         5.82,                  2136841.12,367135,N, ,1086,         8.25,         4.05
N,RUCHIRA PAPERS LIMITED,       105.12,       105.50,       108.00,       105.00,       107.50,                  6519469.76,61272,N, ,1077,       173.00,        95.17
N,RUDRA GLOBAL INFRA PROD L,        20.38,        20.30,        20.80,        20.30,        20.33,                   515258.10,25195,N, ,157,        29.70,        14.63
N,RULKA ELECTRICALS LIMITED,       109.60,       105.40,       110.90,       105.40,       106.25,                   360300.00,3300,N, ,6,       139.75,        72.95
N,RUPA & COMPANY LTD,       144.43,       144.43,       145.40,       143.05,       144.49,                 11680264.47,81141,N, ,2556,       212.84,       109.21
N,RUSHIL DECOR LIMITED,        16.18,        16.20,        16.46,        15.66,        16.01,                  3994613.74,247963,N, ,822,        33.99,        12.49
N,KEYSTONE REALTORS LIMITED,       381.75,       381.75,       381.75,       372.25,       373.95,                 10526379.70,27990,N, ,1208,       641.05,       358.80
